,tweets,len,ID,Date,Source,Likes,RTs
0,Amazing enthusiasm! Hats off to the people who joined these programmes in Chennai and Hyderabad. Such efforts are d… https://t.co/OMLSQ0dGXp,140,1.11495E+18,07-04-19 17:50,Twitter for iPhone,23673,6051
1,"In the Northeast, Congress has committed too many fouls. No wonder people are going to Red Card the Congress! https://t.co/9GlAhPwzH4",133,1.11493E+18,07-04-19 16:55,Twitter Media Studio,8722,2486
2,"What are the compulsions that make Mahamilawat leaders speak the language of anti-India elements?

Why has Modi hat… https://t.co/YRYlp8XCf3",140,1.11493E+18,07-04-19 16:54,Twitter Media Studio,13680,3700
3,"Glimpses from the lively public meeting in Imphal earlier today. 

Having a NDA Government at the Centre and in the… https://t.co/yrJoaaCEi8",140,1.11493E+18,07-04-19 16:53,Twitter Web Client,7805,2193
4,"Its been a year since Tripura created history and rejected Left tyranny. Much has changed in a year:

Poor are gett… https://t.co/lXG1PrmNG6",140,1.11491E+18,07-04-19 15:03,Twitter Media Studio,10305,3084
5,"Communists claim to standup for the rights of workers. But, their actions in India indicate otherwise.

The Left, w… https://t.co/uo9I4pUIXF",140,1.11491E+18,07-04-19 15:00,Twitter Media Studio,8216,2612
6,"जय मां त्रिपुरा सुंदरी!

Feeling blessed after praying at the Tripura Sundari Temple.  🙏🏼 https://t.co/ORraFkqbLP",113,1.11491E+18,07-04-19 14:58,Twitter for iPhone,28921,5675
7,Hello Manipur! Talking about NDA’s development agenda in Imphal. Watch. https://t.co/w8J5sILXPY,95,1.11486E+18,07-04-19 11:53,Periscope,10393,3105
8,"Saradha.

Narada.

Rose Valley. 

These scams are examples of the reign of loot under TMC. 

Money belonging to the… https://t.co/1ibEKWJyLb",140,1.11486E+18,07-04-19 11:50,Twitter Media Studio,19409,5634
9,"Why are TMC and Didi so disturbed when:

India acts strongly against the forces of terror.

India strengthens its p… https://t.co/LkFRhLztft",140,1.11486E+18,07-04-19 11:48,Twitter Media Studio,12205,3820
10,Speed breaking tactics of Didi and bullying of TMC was not enough to prevent a huge turnout at the Cooch Behar rall… https://t.co/sItanuFONa,140,1.11486E+18,07-04-19 11:46,Twitter Web Client,9436,2927
11,"Best wishes on the auspicious occasion of Cheti Chand. May there be abundance of joy, harmony and may everyone be h… https://t.co/Jq2svQGi1G",140,1.11484E+18,07-04-19 10:39,Twitter for iPhone,18719,4038
12,Udaipur in Tripura says unanimously- we want Modi Sarkar again! Watch. https://t.co/BporWLS9kh,94,1.11482E+18,07-04-19 9:15,Periscope,15006,4146
13,On #WorldHealthDay I pray for everyone's good health and well-being. Salute to all those remarkable individuals &amp; o… https://t.co/LyevTLynuC,144,1.11477E+18,07-04-19 6:07,Twitter for iPhone,22035,4442
14,#WorldHealthDay is a day to reiterate our commitment towards building a healthier society. It would make every Indi… https://t.co/82fpll7jI8,140,1.11477E+18,07-04-19 6:07,Twitter for iPhone,29312,5977
15,Great vibrancy in Cooch Behar. West Bengal is with BJP! Watch. https://t.co/l6nm7MQd05,86,1.11476E+18,07-04-19 5:24,Periscope,15463,4806
16,"Be it Odisha, Chhattisgarh and Maharashtra, work of the Central Government is admired everywhere. 

Congress’ inabi… https://t.co/pfws6e5lvR",140,1.11471E+18,07-04-19 2:11,Twitter Media Studio,21015,6010
17,"Will be addressing three rallies today. 

The first rally will be in Cooch Behar (West Bengal) followed by rallies… https://t.co/Gq7gHu8iHc",139,1.11471E+18,07-04-19 2:10,Twitter for Android,20018,4505
18,"Today's rally in Nanded will worry the Congress-NCP leaders.

In all parts of Maharashtra, people want NDA to retur… https://t.co/josawHFOPv",140,1.11458E+18,06-04-19 17:42,Twitter Web Client,13054,3839
19,"देश को चौकीदार की सरकार चाहिए, ना कि भ्रष्टाचारियों की बारात... https://t.co/zEOw7iFdOs",87,1.11458E+18,06-04-19 17:38,Twitter Media Studio,18907,5270
20,"कांग्रेस चुनाव लड़ रही है अपने दल को जिताने के लिए, हम चुनाव लड़ रहे हैं देश को जिताने के लिए। https://t.co/eU0ESR29pv",118,1.11458E+18,06-04-19 17:37,Twitter Media Studio,30393,8013
21,"Overwhelmed by the warm response in Balod, Chhattisgarh. 

Driven by politics, the Congress Government in the state… https://t.co/k2l64wfWlX",140,1.11458E+18,06-04-19 17:36,Twitter Web Client,9187,2664
22,Nanded is clear- we won’t allow corrupt Congress-NCP to win. This land is with BJP-Shiv Sena-RPI(A). https://t.co/aOsBEqMXVt,124,1.11453E+18,06-04-19 13:48,Periscope,17351,4990
23,"BJP’s plan for Odisha includes:

Improve the water situation.

Better prices for farmers.

Reenergise the silk indu… https://t.co/1MSOuJe3iQ",140,1.11451E+18,06-04-19 12:39,Twitter Media Studio,12807,3758
24,"BJD offers nothing substantive that would appeal to people of Odisha. 

Congress has already announced its plan of… https://t.co/Qsn6OZjwxA",139,1.11451E+18,06-04-19 12:37,Twitter Media Studio,9310,2844
25,"Neglect and apathy of successive BJD as well as Congress regimes impoverished Odisha. 

These parties use the poor… https://t.co/Xbxzt2gAy5",139,1.11451E+18,06-04-19 12:34,Twitter Media Studio,9975,3036
26,"Today, on the BJP’s Foundation Day I addressed massive rallies in Odisha. 

Till a few years ago, who would have im… https://t.co/AUd30t3uLq",140,1.11451E+18,06-04-19 12:28,Twitter for iPhone,12774,3471
27,Chhattisgarh will support BJP! Congress has been a colossal failure here. Watch from Balod. https://t.co/4znIU5kFPP,115,1.11447E+18,06-04-19 10:17,Periscope,15347,4402
28,"RT @htTweets: Top story on https://t.co/o0DfqOYtUN  right now

Read here: https://t.co/FGBkZaafFG 

#HTTopStory #PMModiToHindustan @Live_Hi…",140,1.11446E+18,06-04-19 9:38,Twitter Web Client,0,1283
29,"RT @htTweets: ⚡️ Exclusive | In an exclusive interview, PM @narendramodi speaks on a range of issues, including NDA’s governance record, de…",140,1.11446E+18,06-04-19 9:38,Twitter Web Client,0,1476
30,RT @Live_Hindustan: 'हिन्दुस्तान' के प्रधान संपादक @shekharkahin और विशेष संवाददाता रामनारायण श्रीवास्तव के साथ बातचीत में PM @narendramodi…,140,1.11446E+18,06-04-19 9:36,Twitter Web Client,0,1184
31,RT @Live_Hindustan: प्रधानमंत्री नरेन्द्र मोदी से हिन्दुस्तान के प्रधान संपादक शशि शेखर और विशेष संवाददाता रामनारायण श्रीवास्तव की खास बात…,139,1.11446E+18,06-04-19 9:35,Twitter Web Client,0,1157
32,"RT @Live_Hindustan: प्रधानमंत्री @narendramodi ने हिन्दुस्तान के प्रधान संपादक @shekharkahin से खास बातचीत में जानिए क्या कहा.

पढ़ें पूरा…",139,1.11446E+18,06-04-19 9:35,Twitter Web Client,0,1105
33,RT @Live_Hindustan: 'हिन्दुस्तान' के प्रधान संपादक @shekharkahin और विशेष संवाददाता रामनारायण श्रीवास्तव के साथ बातचीत में प्रधानमंत्री @na…,140,1.11446E+18,06-04-19 9:35,Twitter Web Client,0,1056
34,RT @Live_Hindustan: प्रधानमंत्री @narendramodi 'हिन्दुस्तान' के प्रधान संपादक @shekharkahin  को दिए एक्सक्लूसिव इंटरव्यू में कहा कि कश्मीर…,139,1.11446E+18,06-04-19 9:33,Twitter Web Client,0,1639
35,"RT @Live_Hindustan: प्रधानमंत्री @narendramodi ने हिन्दुस्तान के प्रधान संपादक @shekharkahin से खास बातचीत में जानिए क्या कहा.

पढ़ें पूरा…",139,1.11446E+18,06-04-19 9:33,Twitter Web Client,0,1293
36,"Spoke to @Live_Hindustan on a wide range of issues like our track record in the past 5 years, upcoming polls, jobs,… https://t.co/v2xYvuMBR8",140,1.11446E+18,06-04-19 9:31,Twitter Web Client,9973,2850
37,"Overwhelmed by the affection in Sonepur, Odisha. Here’s my speech. https://t.co/hrQZwE5WVR",90,1.11443E+18,06-04-19 7:46,Periscope,13843,3758
38,BJD’s misrule in Odisha is ending. BJP has people’s blessings. Watch from Sundargarh. https://t.co/GVKWxZ8VL4,109,1.11441E+18,06-04-19 5:57,Periscope,12669,3563
39,I am confident that the entire family of @BJP4India Karyakartas would be working day and night to ensure that our P… https://t.co/QnMHx7Q4WM,140,1.11436E+18,06-04-19 2:58,Twitter for iPhone,26914,6745
40,The @BJP4India stands tall due to it’s democratic ethos and patriotic zeal. This is a Party that is always on the g… https://t.co/g4YG5theej,140,1.11436E+18,06-04-19 2:57,Twitter for iPhone,11224,3126
41,"39 years ago on this day, @BJP4India was born with an unwavering commitment to serve society and take the nation to… https://t.co/YeVXZJfMFo",140,1.11436E+18,06-04-19 2:56,Twitter Media Studio,30549,9567
42,"गुढीपाडव्याच्या पवित्रदिनी पुन्हा एकदा महाराष्ट्राच्या भेटीचा योग येतोय ! 

नांदेडमध्ये आज संध्याकाळी आपल्या सर्वां… https://t.co/cKi67dkhB2",140,1.11436E+18,06-04-19 2:51,Twitter for iPhone,12837,3326
43,"I would be campaigning in Balod, Chhattisgarh today. People of the state are already tired of Congress misrule. Con… https://t.co/FZYrRWiqst",140,1.11436E+18,06-04-19 2:51,Twitter for iPhone,8917,2413
44,ଓଡିଶାର ସୁନ୍ଦରଗଡ ଓ ସୋନପୁର ଠାରେ ଜନସଭାକୁ ସମ୍ବୋଧିତ କରିବି । ଓଡିଶାର ନିର୍ବାଚନୀ ଫଳାଫଳ ସାରା ଦେଶକୁ ଆଚମ୍ବିତ କରିବ । ବିଜେପି ରେକ… https://t.co/Ppvivhw5Di,139,1.11436E+18,06-04-19 2:50,Twitter for iPhone,5800,1665
45,"Navreh Mubarak! 

Praying for a year filled with exceptional happiness. 

May everyone’s aspirations be fulfilled i… https://t.co/tOwJMUwFZu",140,1.11436E+18,06-04-19 2:38,Twitter for iPhone,18410,4654
46,Greetings to the wonderful people of Manipur on Sajibu Nongma Panba Cheiraoba. May this special festival further th… https://t.co/XiMBYg5F9t,140,1.11436E+18,06-04-19 2:35,Twitter for iPhone,9574,2357
47,"ಎಲ್ಲರಿಗೂ ಯುಗಾದಿ ಹಬ್ಬದ ಹಾರ್ದಿಕ ಶುಭಾಶಯಗಳು!

ಹೊಸ ವರ್ಷದ ಶುಭ ಸಂದರ್ಭದಲ್ಲಿ ನಿಮ್ಮ ಎಲ್ಲ ಕನಸುಗಳು ನನಸಾಗಲಿ ಎಂದು ನಾನು ದೇವರಲ್ಲಿ… https://t.co/FHC2KIcUZL",138,1.11436E+18,06-04-19 2:33,Twitter for iPhone,23505,4722
48,"అందరికీ ఉగాది శుభాకాంక్షలు!

ఈ పర్వదినం సందర్భంగా మీ ఆకాంక్షలు నెరవేరాలని నేను ప్రార్థిస్తున్నాను. ప్రతి ఒక్కరు సం… https://t.co/5UDC8Fg4Z4",139,1.11436E+18,06-04-19 2:33,Twitter for iPhone,18501,3151
49,"Ugadi greetings to everyone! 

I pray that this auspicious occasion leads to the fulfilment of all your aspirations… https://t.co/zQrI1iY4wg",140,1.11436E+18,06-04-19 2:33,Twitter for iPhone,40542,6792
50,"महाराष्ट्र आणि जगभरातील मराठी बांधवांना गुढीपाडव्यानिमित्त मनःपूर्वक शुभेच्छा!

येणारे नूतन वर्ष आपल्या सर्वांना आ… https://t.co/nsEaSNXC6p",139,1.11435E+18,06-04-19 2:28,Twitter for iPhone,15833,3818
51,"सभी देशवासियों को नव संवत्सर की हार्दिक शुभकामनाएं। मैं कामना करता हूं कि नया वर्ष सबके जीवन में सुख, शांति, समृद्… https://t.co/zF2Le4iUky",139,1.11435E+18,06-04-19 2:28,Twitter for iPhone,60602,12809
52,"Beware of the Dynastic Hand!

They are going to INCREASE TAXES.

YOUR MONEY will FUND the LIFESTYLE OF CONGRESS LEA… https://t.co/ajq04YSbGG",140,1.11418E+18,05-04-19 14:52,Twitter Media Studio,19510,6358
53,"Congress and corruption have an unbreakable bond. 

In Congress time:

Corruption - accelerator. 

Development- ven… https://t.co/pJsIZNpHEr",140,1.11417E+18,05-04-19 14:17,Twitter Media Studio,10488,3344
54,"जब आप मतदान करें, तो याद रखें... https://t.co/AszeSsuI7x",56,1.11417E+18,05-04-19 14:16,Twitter Media Studio,13828,4160
55,वे लोग बोटी-बोटी की धमकी देने वाले लोग हैं और हम बेटी-बेटी को सुरक्षा और सम्मान देने वाले लोग हैं। https://t.co/WAKSPXvqwF,122,1.11417E+18,05-04-19 14:16,Twitter Media Studio,10333,3311
56,"सपा, बसपा और कांग्रेस ने पश्चिमी यूपी की कभी चिंता ही नहीं की।

इस क्षेत्र में लोगों को बांटने का प्रयास किया।

जात… https://t.co/1fY6WVV3px",140,1.11417E+18,05-04-19 14:15,Twitter Media Studio,10294,3096
57,"कांग्रेस पिछड़ों की विरोधी है। 

उन्होंने डॉ. बाबासाहेब अम्बेडकर जी, श्री जोगेंद्र नाथ मंडल जी और बाबू जगजीवन राम… https://t.co/AjTnhOSAir",138,1.11417E+18,05-04-19 14:15,Twitter Media Studio,8497,2654
58,"देखिए, अमरोहा के कुछ दृश्य। 

एसपी, बीएसपी और कांग्रेस का आतंक के प्रति जो नरम रवैया है, उससे जनता में गुस्सा है।… https://t.co/2TyYZjitOA",138,1.11417E+18,05-04-19 14:13,Twitter Web Client,8670,2495
59,The bright youth of Kashmir will bring peace and prosperity to the region. Time is running out for entrenched veste… https://t.co/FA7YZVCauJ,140,1.11416E+18,05-04-19 13:26,Twitter Web Client,6501,1897
60,"You can stay connected with me on the go through the Narendra Modi Mobile App. Next time, your husband can catch up… https://t.co/dZznbioPcm",140,1.11416E+18,05-04-19 13:26,Twitter Web Client,19173,4603
61,"The people of India entrusted us with a great responsibility and we are accountable to them. 

Our report card is a… https://t.co/w2Tcqqmjbw",140,1.11416E+18,05-04-19 13:25,Twitter Web Client,5349,1620
62,I am also banking on youngsters like you to keep yourself and others informed about our transformative work. :) https://t.co/uAfX9b0Jak,135,1.11416E+18,05-04-19 13:25,Twitter Web Client,7631,2155
63,Thanks. It is such love from the people that inspires me to work even harder. https://t.co/T7F9WlRhhD,101,1.11416E+18,05-04-19 13:23,Twitter Web Client,8675,2425
64,Thanks a lot. https://t.co/lSXH7C6YV7,37,1.11416E+18,05-04-19 13:23,Twitter Web Client,7077,1921
65,Thanks. I draw inspiration from our police and armed forces who serve our country throughout the year and in all co… https://t.co/mtljvphl0L,140,1.11416E+18,05-04-19 13:22,Twitter Web Client,11932,3092
66,"RT @abpnewshindi: पीएम नरेंद्र मोदी के इंटरव्यू का सबसे नया चैप्टर, @narendramodi के इंटरव्यू का मास्टर स्ट्रोक एडिशन
देखिए आज रात 9 बजे @R…",140,1.11415E+18,05-04-19 13:10,Twitter for iPhone,0,2347
67,"RT @abpnewshindi: #PMModiOnABP कांग्रेस के देशद्रोह कानून (124A) को खत्म करने पर बोले पीएम मोदी, 'इससे देश के टुकड़े होंगे जैसी बातों को मि…",140,1.11415E+18,05-04-19 12:38,Twitter Web Client,0,1412
68,RT @abpnewshindi: #PMModiOnABP | एयर स्ट्राइक पर PM @narendramodi ने कहा- सबसे बड़ा सबूत पाकिस्तान ने स्वयं ने ट्वीट करके दिया दुनिया को..…,139,1.11414E+18,05-04-19 12:37,Twitter Web Client,0,1161
69,RT @abpnewshindi: #PMModiOnABP | प्रधानमंत्री @narendramodi ने कहा- कांग्रेस जैसी पार्टी राष्ट्रीय सुरक्षा जैसे मुद्दों पर घोषणापत्र में ऐ…,139,1.11414E+18,05-04-19 12:36,Twitter Web Client,0,936
70,RT @abpnewshindi: #PMModiOnABP | एबीपी न्यूज़ से प्रधानमंत्री @narendramodi ने कहा- हमारे देश में आजादी के बाद सिर्फ दो प्रधानमंत्री ऐसे ब…,139,1.11414E+18,05-04-19 12:35,Twitter Web Client,0,1108
71,RT @abpnewstv: What kind of relation does PM Modi share with Muslims of India? PM answers to ABP News network in an exclusive interview tod…,140,1.11414E+18,05-04-19 12:31,Twitter Web Client,0,959
72,"RT @abpnewstv: Why Modi called Congress’ manifesto a ‘Hypocritic’ one, PM answers to ABP News network in an exclusive interview today at 7…",139,1.11414E+18,05-04-19 12:31,Twitter Web Client,0,1054
73,"RT @arunjaitley: Who are ‘RG’, ‘AP’ and ‘FAM’?   https://t.co/ynEJAlaiHP",72,1.11414E+18,05-04-19 12:27,Twitter Web Client,0,4946
74,Hello Dehradun! Speaking at a public meeting in this wonderful city. Watch. https://t.co/OZ5vZ4SZhu,99,1.11411E+18,05-04-19 10:14,Periscope,13782,3883
75,"Saharanpur is going to reject votebank politics of SP, BSP and Congress. People here trust BJP. Watch. https://t.co/G8VklqofLr",126,1.11409E+18,05-04-19 8:47,Periscope,13726,3860
76,अमरोहा में उमड़ा जनसैलाब। बीजेपी ही यूपी की पसंद है। देखिए... https://t.co/8MJ8KOrg4c,85,1.11406E+18,05-04-19 6:57,Periscope,19099,5394
77,"Had an extensive interview with @abpnewstv. Questions ranged from politics, security, economy and polls. https://t.co/Xto66L9vVv",128,1.11402E+18,05-04-19 4:39,Periscope,19133,6449
78,"I would be addressing campaign rallies in Amroha, Saharanpur (Uttar Pradesh) and Dehradun (Uttarakhand) today. Look… https://t.co/KU9DfCK9CS",140,1.11402E+18,05-04-19 4:26,Twitter for iPhone,29699,6090
79,Remembering Babu Jagjivan Ram Ji on his Jayanti. Babuji not only contributed to the Freedom Struggle but also to th… https://t.co/VHElQOsZB7,140,1.11402E+18,05-04-19 4:24,Twitter for iPhone,16468,3609
80,"Advani Ji perfectly sums up the true essence of BJP, most notably the guiding Mantra of ‘Nation First, Party Next,… https://t.co/kK9uhQilsK",139,1.11382E+18,04-04-19 15:04,Twitter for Android,41415,11398
81,"اقدم شكري و تقديري يا صاحب السمو، محمد بن زايد آل نهيان، 

يسعدني ان اقبل هذا الشرف بفائق التواضع .

تحت قيادتكم ال… https://t.co/8vGcRzDntV",140,1.11381E+18,04-04-19 14:25,Twitter Web Client,25946,5883
82,"बहुत-बहुत धन्यवाद माननीय @MohamedBinZayed जी।

मैं इस सम्मान को पूरी विनम्रता के साथ स्वीकार करता हूं।

आपके दूरदर्… https://t.co/NmZECjh4pE",140,1.11381E+18,04-04-19 14:24,Twitter Web Client,50867,12268
83,"Thank you, Your Highness Mohamed bin Zayed Al Nahyan. 

I accept this honour with utmost humility. 

Under your vis… https://t.co/mG9wtX94Oa",140,1.11376E+18,04-04-19 11:02,Twitter Web Client,65428,17159
84,"Began the day with a rally in Arunachal Pradesh and the final rally was in Gondia in Maharashtra.

My travels acros… https://t.co/crHPz3AfYi",140,1.11351E+18,03-04-19 18:16,Twitter Media Studio,35429,8716
85,"An iconic city, an iconic venue and record number of people to bless us! 

Here are pictures from Kolkata. 

The un… https://t.co/r4zVKjMJZU",140,1.11351E+18,03-04-19 18:15,Twitter for iPhone,22520,5960
86,"There was record enthusiasm in the rally in Gondia, Maharashtra.

It is BJP-Shiv Sena-RPI(A) all the way in the sta… https://t.co/xyOI4F1Etq",140,1.1135E+18,03-04-19 18:09,Twitter for iPhone,14017,4153
87,"Farmers suffered greatly during Congress rule. 

The party did not bother to increase MSP while there were long lin… https://t.co/bypA9ggAqp",140,1.1135E+18,03-04-19 18:05,Twitter Media Studio,11866,3539
88,"I asked the people of Gondia:

Do they trust the NDA Government?

Are they happy with the direction the nation is t… https://t.co/olO9P20e3V",140,1.1135E+18,03-04-19 18:04,Twitter Media Studio,20101,5189
89,"NDA’s development agenda moves at record pace.

Lots has been done for West Bengal but I want to work more.

Didi i… https://t.co/gciYl7Ur2f",140,1.11346E+18,03-04-19 15:16,Twitter Media Studio,16019,4626
